index geno pheno fit
 11860459 0 -0.80554 0.958644 
 11860460 0 -0.256206 0.986725 
 11860461 1 1.52392 1.06845 
 11860462 1 1.43083 1.06954 
 11860463 0 -1.01445 0.942691 
 11860464 0 0.296007 1.01014 
 11860465 0 0.515259 1.02053 
 11860466 0 0.473216 1.02373 
 11860467 1 0.39534 1.01947 
 11860468 0 0.841543 1.03566 
 11860469 0 0.993195 1.04491 
 11860470 1 2.71811 1.10721 
 11860471 0 1.47423 1.06597 
 11860472 1 1.75189 1.0805 
 11860473 0 -0.247897 0.986696 
 11860474 0 -1.0197 0.954095 
 11860475 1 1.64958 1.08463 
 11860476 1 2.78833 1.13156 
 11860477 1 -1.54428 0.917478 
 11860478 1 1.65551 1.10672 
 11860479 1 0.643683 1.03213 
 11860480 0 -0.528182 0.986008 
 11860481 1 2.89452 1.06613 
 11860482 1 0.70722 1.03616 
 11860483 1 0.136803 1.0068 
 11860484 1 -0.532078 0.975918 
 11860485 0 0.324558 1.01487 
 11860486 0 0.292476 1.01242 
 11860487 1 2.30158 1.12308 
 11860488 1 -0.25015 0.988163 
 11860489 1 -0.880871 0.964905 
 11860490 1 3.13361 1.08803 
 11860491 0 0.552618 1.0271 
 11860492 1 0.742435 1.03644 
 11860493 1 0.705431 1.04217 
 11860494 1 1.79163 1.08693 
 11860495 1 1.07996 1.06601 
 11860496 1 0.871682 1.04852 
 11860497 1 1.87102 1.08567 
 11860498 0 -0.834521 0.946302 
 11860499 1 1.18673 1.05817 
 11860500 1 0.360826 1.01183 
 11860501 0 1.32919 1.07748 
 11860502 0 -0.752545 0.960892 
 11860503 0 1.85667 1.08517 
 11860504 0 -0.215774 0.98625 
 11860505 1 0.177533 1.00846 
 11860506 0 0.505372 1.03462 
 11860507 0 -0.44243 0.972983 
 11860508 1 1.79013 1.07345 
 11860509 0 -0.143223 0.99018 
 11860510 1 -0.114991 0.994748 
 11860511 0 -0.125 0.993383 
 11860512 0 1.58971 1.07186 
 11860513 1 -0.109225 0.994594 
 11860514 1 -0.185299 0.988106 
 11860515 1 0.446437 1.01894 
 11860516 0 0.324847 1.01513 
 11860517 0 0.5578 1.02391 
 11860518 0 -1.33521 0.936934 
 11860519 0 -1.75993 0.920141 
 11860520 1 0.84669 1.0294 
 11860521 1 1.89299 1.12689 
 11860522 1 2.57719 1.09764 
 11860523 1 0.579757 1.02222 
 11860524 0 -0.219674 0.986626 
 11860525 0 -0.517092 0.974034 
 11860526 0 -1.66056 0.926276 
 11860527 1 0.0694484 1.00279 
 11860528 0 1.20057 1.0419 
 11860529 1 0.956115 1.04214 
 11860530 0 -0.687029 0.962795 
 11860531 1 -0.0334575 0.998435 
 11860532 1 -0.900075 0.962925 
