index geno pheno fit children
12320336 2 0.715418 1.01931 2
12320337 0 -0.184759 0.979826 5
12320338 1 2.54697 1.14778 1
12320339 1 2.08249 1.09234 4
12320340 1 1.31983 1.07413 1
12320341 0 0.104579 0.995474 4
12320342 1 1.21755 1.04062 2
12320343 2 2.0176 1.0971 1
12320344 0 0.508211 1.02887 2
12320345 2 1.1584 1.06851 2
12320346 1 2.53691 1.1329 2
12320347 2 4.16716 1.21726 3
12320348 1 -0.131168 1.0035 2
12320349 0 -1.13003 0.943556 2
12320350 1 1.90799 1.08937 3
12320351 1 0.964073 1.04835 0
12320352 0 0.1854 1.00314 4
12320353 2 2.08657 1.10439 3
12320354 1 2.31072 1.11099 0
12320355 1 1.57016 1.07058 1
12320356 1 3.108 1.16757 2
12320357 1 0.759899 1.02846 1
12320358 1 0.238717 1.00623 3
12320359 2 1.39031 1.06357 2
12320360 1 2.31508 1.11443 2
12320361 1 0.464164 1.01872 0
12320362 1 2.4657 1.11286 3
12320363 2 2.77749 1.1457 1
12320364 2 1.22963 1.05187 2
12320365 0 -0.440664 0.979946 2
12320366 1 0.915688 1.04832 0
12320367 1 0.125468 0.99368 2
12320368 2 2.41628 1.11781 2
12320369 0 0.412109 1.023 3
12320370 0 0.0574183 1.01154 0
12320371 0 -3.5685 0.830635 1
12320372 1 1.92559 1.09224 0
12320373 1 1.03792 1.0668 0
12320374 1 2.00745 1.11111 1
12320375 0 -0.419074 0.985101 4
12320376 0 -1.03341 0.957281 3
12320377 1 1.75869 1.08861 4
12320378 1 -0.07648 0.995854 0
12320379 1 0.63197 1.03281 1
12320380 1 0.599771 1.03288 3
12320381 0 -2.22324 0.883973 0
12320382 0 -0.551741 0.968948 2
12320383 1 2.28022 1.14047 3
12320384 0 0.472084 1.01602 2
12320385 2 2.23122 1.1105 1
12320386 0 0.511778 1.02477 1
12320387 1 0.871245 1.04048 3
12320388 2 1.90895 1.08864 1
12320389 2 2.03817 1.10156 0
12320390 0 0.0838736 1.00407 5
12320391 2 1.84178 1.09816 1
12320392 0 1.329 1.06355 6
12320393 1 2.26321 1.13458 2
12320394 1 1.16178 1.04887 2
12320395 0 2.98239 1.15307 3
12320396 0 2.57869 1.12304 2
12320397 0 -0.721817 0.972469 2
12320398 0 0.486809 1.03094 2
12320399 1 0.289541 1.00741 2
12320400 0 0.100419 1.01381 2
12320401 2 2.44265 1.11259 3
12320402 2 2.77064 1.14898 3
12320403 1 0.03604 1.00924 3
12320404 1 -0.13911 1.01275 1
12320405 1 2.8826 1.14393 1
12320406 0 -0.760552 0.979589 1
12320407 0 -0.585741 0.971178 1
12320408 1 2.10269 1.09763 3
12320409 2 3.10608 1.14639 2
12320410 0 0.694848 1.03537 3
12320411 1 1.21243 1.05939 1
12320412 1 0.8989 1.05393 5
12320413 1 0.937772 1.04466 3
12320414 1 2.29869 1.11676 4
12320415 1 1.88014 1.08765 2
12320416 1 -0.517456 0.985059 0
12320417 0 -1.42553 0.932505 3
