index geno pheno fit
 400 0 1.06988 1.05388 
 401 0 0.130277 1.00736 
 402 0 -0.404384 0.982638 
 403 0 1.63855 1.08105 
 404 0 0.112593 1.00587 
 405 1 -0.24971 0.986613 
 406 0 0.164028 1.00506 
 407 0 0.996171 1.04179 
 408 0 -0.166316 0.993031 
 409 1 -2.001 0.892689 
 410 1 -0.48292 0.985906 
 411 0 -1.96748 0.913269 
 412 1 0.49943 1.01758 
 413 1 -0.429124 0.978051 
 414 0 -1.54712 0.933336 
 415 1 -0.0328877 0.998548 
 416 1 1.16989 1.05402 
 417 1 1.9604 1.12353 
 418 0 1.1775 1.04355 
 419 0 2.19041 1.13955 
 420 0 -0.967668 0.937698 
 421 0 -0.470994 0.97589 
 422 1 -1.86603 0.922195 
 423 0 -0.0828681 0.99602 
 424 0 1.19052 1.08336 
 425 0 -0.805301 0.952561 
 426 1 2.33508 1.10604 
 427 0 0.999664 1.05133 
 428 0 1.14959 1.051 
 429 1 0.359073 1.01438 
 430 0 0.0176966 1.00076 
 431 0 -1.42275 0.935146 
 432 0 0.0885335 1.00267 
 433 0 0.623682 1.03225 
 434 1 0.0475827 1.00215 
 435 1 2.18725 1.10681 
 436 1 1.15319 1.0711 
 437 0 -1.30178 0.915778 
 438 0 -2.4441 0.845177 
 439 1 0.161833 1.00527 
 440 1 2.78393 1.17313 
 441 0 -0.667652 0.952966 
 442 0 0.699178 1.03688 
 443 0 -0.201368 0.988552 
 444 0 0.0179652 1.00082 
 445 1 -0.0154542 0.999226 
 446 0 -0.0394341 0.997762 
 447 0 1.81158 1.10989 
 448 0 -0.963548 0.957361 
 449 0 1.51063 1.07577 
 450 1 0.713131 1.03604 
 451 1 2.90494 1.16168 
 452 1 0.553982 1.0317 
 453 1 0.718 1.04152 
 454 0 2.39828 1.12096 
 455 1 -0.532365 0.970628 
 456 1 0.147766 1.00909 
 457 1 0.0415267 1.00187 
 458 1 1.00061 1.05612 
 459 1 1.42014 1.06597 
 460 0 -0.277504 0.980862 
 461 0 -1.35707 0.92792 
 462 1 2.39088 1.11623 
 463 0 -1.64506 0.932446 
 464 0 -0.61111 0.967759 
 465 0 1.04 1.05496 
